podcast_title,corpus_episode_count,corpus_duration_hours,candidate_episode_count,analysis_episode_count,analysis_episode_share,analysis_clip_count,routine_promotional_clip_count,potential_misinformation_flag_count,corrective_context_clip_count
The Joe Rogan Experience,1376,3864.7,585,518,0.3765,1748,31,879,169
The Megyn Kelly Show,1393,1950.6,511,445,0.3195,1249,19,476,230
Pod Save America,1086,1185.5,315,248,0.2284,546,21,45,237
REAL AF with Andy Frisella,747,774.8,256,246,0.3293,500,7,340,11
The Tucker Carlson Show,290,423.2,99,89,0.3069,307,1,223,9
The MeidasTouch Podcast,1981,848.0,153,142,0.0717,219,0,39,141
Candace,283,260.9,122,111,0.3922,189,4,134,2
Matt and Shane's Secret Podcast,328,428.5,91,71,0.2165,113,12,66,3
Wait Wait... Don't Tell Me!,300,203.9,291,80,0.2667,113,181,3,10
The Shawn Ryan Show,297,832.2,61,53,0.1785,105,2,41,13
The Diary Of A CEO with Steven Bartlett,699,853.0,47,35,0.0501,60,2,20,19
Up First from NPR,499,132.8,44,43,0.0862,53,2,9,23
3 Takeaways™,208,88.6,33,30,0.1442,48,0,0,1
SmartLess,312,280.6,141,31,0.0994,39,115,1,3
The Charlie Kirk Show,100,88.7,18,16,0.16,30,0,12,0
Armchair Expert with Dax Shepard,139,209.2,22,16,0.1151,27,0,2,6
Pardon My Take,401,957.4,43,19,0.0474,24,1,8,4
Morbid,778,860.4,37,18,0.0231,20,9,0,1
Right About Now - Legendary Business Advice,524,330.8,35,16,0.0305,20,11,2,0
Huberman Lab,43,71.0,3,2,0.0465,16,0,7,6
Last Podcast On The Left,221,279.9,24,10,0.0452,12,0,2,4
The Rest Is History,631,558.4,20,9,0.0143,12,0,0,1
Finding Peak with Ryan Hanley,392,345.6,16,7,0.0179,8,2,3,1
This Past Weekend w/ Theo Von,32,57.4,8,6,0.1875,8,0,3,3
Money Rehab with Nicole Lapin,1066,354.1,20,7,0.0066,7,1,0,0
Habits and Hustle,255,217.8,8,4,0.0157,6,1,4,0
The Mel Robbins Podcast,334,344.8,43,4,0.012,5,25,0,0
Crime Junkie,466,345.7,359,4,0.0086,4,362,0,0
We're Out of Time,52,38.8,4,4,0.0769,4,0,2,1
Creating Confidence with Heather Monahan,72,64.3,6,3,0.0417,3,0,1,1
The Home Service Expert Podcast,436,470.8,5,3,0.0069,3,1,2,0
Good Hang with Amy Poehler,32,34.1,2,2,0.0625,2,0,1,0
Mick Unplugged,205,120.4,2,2,0.0098,2,0,1,0
"MrBallen Podcast: Strange, Dark & Mysterious Stories",384,231.6,3,2,0.0052,2,0,0,0
Proven Podcast,62,51.8,2,2,0.0323,2,0,0,2
The Money Mondays,143,111.5,2,2,0.014,2,0,1,0
The Russell Brunson Show,628,294.3,5,2,0.0032,2,0,0,0
This American Life,12,11.1,8,1,0.0833,2,2,0,0
Dateline NBC,709,564.1,13,1,0.0014,1,2,0,0
The Bill Simmons Podcast,155,284.3,5,1,0.0065,1,0,0,0
The Code To Winning,61,56.8,1,1,0.0164,1,0,0,0
The Commune,13,9.1,1,1,0.0769,1,0,0,0
The Daily,19,14.8,3,1,0.0526,1,1,0,0
Young and Profiting (YAP) with Hala Taha: Entrepreneurship and Self-Improvement Podcast,174,171.4,2,1,0.0057,1,0,0,0
10 to Life,3,2.1,0,0,0.0,0,0,0,0
20/20,60,55.9,0,0,0.0,0,0,0,0
48 Hours,212,142.3,0,0,0.0,0,0,0,0
Bred To Lead | With Dr. Jake Tayler Jacobs,1,0.6,0,0,0.0,0,0,0,0
Call Her Daddy,111,113.9,0,0,0.0,0,0,0,0
Casefile True Crime,225,266.7,3,0,0.0,0,0,0,0
Coffeez with Joe Shalaby,100,77.0,0,0,0.0,0,0,0,0
Conan O’Brien Needs A Friend,27,19.9,3,0,0.0,0,0,0,0
Deadly Engagement,8,3.4,0,0,0.0,0,0,0,0
Founder's Story,253,106.3,1,0,0.0,0,0,0,0
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,1,1.2,1,0,0.0,0,0,0,0
Stuff You Should Know,8,4.9,6,0,0.0,0,2,0,0
The Bible in a Year (with Fr. Mike Schmitz),1455,569.7,0,0,0.0,0,0,0,0
The Drop the Needle Podcast,49,45.7,0,0,0.0,0,0,0,0
The Ezra Klein Show,6,4.9,0,0,0.0,0,0,0,0
The Jamie Kern Lima Show,73,73.2,0,0,0.0,0,0,0,0
The Last Appeal,6,1.8,0,0,0.0,0,0,0,0
The Learning Leader Show With Ryan Hawk,90,91.2,0,0,0.0,0,0,0,0
The Level Up Podcast w/ Paul Alex,566,88.3,1,0,0.0,0,1,0,0
The Vault Unlocked,9,5.3,0,0,0.0,0,0,0,0
Tony Mantor's : Almost Live..... Nashville,38,17.1,0,0,0.0,0,0,0,0
